iter	RMSE
0	2712188.343
1	2550277.099
2	2396582.19
3	2254514.142
4	2118246.181
5	1995132.571
6	1876299.813
7	1762252.361
8	1660398.568
9	1563351.75
10	1471841.899
11	1388154.42
12	1305097.49
13	1229021.224
14	1156451.799
15	1090218.575
16	1027697.154
17	971476.5502
18	915246.7189
19	861923.0466
20	812717.6487
21	766748.3386
22	723738.4773
23	683386.6865
24	645662.3231
25	611935.2642
26	579314.3242
27	548621.2719
28	521021.4782
29	493940.2609
30	468572.0226
31	445419.2508
32	423688.8625
33	403852.1814
34	385523.8494
35	368620.5824
36	352827.3974
37	337973.6302
38	324816.9848
39	312221.8698
40	300862.8219
41	290300.7256
42	281358.35
43	272918.9738
44	264853.1502
45	257527.9544
46	250986.5712
47	244904.9098
48	239504.5844
49	234706.3269
50	230261.4618
51	225973.4699
52	222855.5449
53	219529.3452
54	216534.9045
55	213856.0466
56	211446.3802
57	209433.8865
58	207395.3719
59	205647.8207
60	204300.5159
61	202808.3467
62	201520.1304
63	200451.4702
64	199642.1256
65	198715.1627
66	197910.678
67	197134.5444
68	195894.7402
69	195043.0711
70	194495.5287
71	193968.4007
72	193527.4111
73	193022.1223
74	192614.5673
75	192240.0005
76	189968.8385
77	189686.0156
78	189397.8169
79	189100.2045
80	188871.86
81	186166.9029
82	185978.3311
83	182836.7977
84	179946.2069
85	179806.9459
86	179231.9991
87	179056.0458
88	176399.7625
89	176126.9257
90	175893.2097
91	175621.5024
92	175481.2179
93	172995.1427
94	172892.4399
95	172787.1073
96	172673.9453
97	172570.3458
98	172468.0828
99	172372.8248
100	172002.5897
101	171823.4556
102	171560.1009
103	171520.8139
104	171476.3903
105	169791.2974
106	167967.0938
107	166896.8009
108	166863.0963
109	166581.4833
110	166533.2323
111	166180.1632
112	166062.1532
113	165791.7578
114	165549.0787
115	165520.0151
116	164076.4445
117	162686.7759
118	162664.9705
119	162490.0823
120	162166.5165
121	161554.4326
122	161394.3264
123	161341.1105
124	160064.2156
125	158762.9161
126	158445.301
127	158258.391
128	157751.9659
129	156823.9762
130	156593.6066
131	156524.3097
132	155346.0125
133	155312.1423
134	155212.2133
135	154814.3713
136	154707.9006
137	153343.8775
138	153162.8428
139	152991.9501
140	152964.9827
141	152798.3661
142	151542.3138
143	151369.3332
144	150323.6621
145	150304.2519
146	149628.8849
147	149395.9736
148	149308.8675
149	149206.5504
150	148161.1227
151	148029.5236
152	147749.8597
153	147660.7849
154	146705.3217
155	146603.9546
156	146529.2961
157	146444.2747
158	145527.108
159	145456.2326
160	144625.1703
161	143836.3986
162	143118.1501
163	143085.4638
164	142994.6059
165	142330.9408
166	141696.7504
167	141637.8957
168	141558.7255
169	141352.1794
170	141281.2992
171	141055.5421
172	140471.0109
173	140244.4975
174	140131.3442
175	139941.1858
176	139386.3703
177	139170.4558
178	139093.5886
179	138580.8412
180	138370.3822
181	138304.9557
182	137836.8965
183	137634.2845
184	137560.9618
185	137427.7828
186	137270.8969
187	137079.4725
188	136985.4015
189	136887.4173
190	136453.5455
191	136044.6715
192	135857.6102
193	135478.3501
194	135033.4854
195	134849.4057
196	134774.635
197	134597.6439
198	134239.0429
199	134066.8992
200	133900.055
201	133838.7149
202	133677.239
203	133520.2364
204	133368.4445
205	133283.4746
206	133245.4083
207	133097.9502
208	132662.2462
209	132519.0756
210	132447.3847
211	132308.5558
212	132253.665
213	132069.1395
214	131993.2573
215	131857.7195
216	131725.811
217	131629.114
218	131501.6728
219	131309.6887
220	130937.6581
221	130810.3107
222	130356.3272
223	130232.4695
224	129886.817
225	129713.4258
226	129395.1785
227	129274.3353
228	128825.4826
229	128707.9549
230	128273.5104
231	128104.8685
232	127667.9874
233	127393.1166
234	127105.7944
235	127076.5592
236	126656.5972
237	126580.7678
238	126320.6994
239	125906.4518
240	125836.5158
241	125417.977
242	125316.11
243	124909.4251
244	124743.1465
245	124626.1674
246	124401.4406
247	124223.8636
248	123826.6915
249	123441.1544
250	123216.7058
251	122842.3995
252	122686.0765
253	122490.5822
254	122125.096
255	121961.3104
256	121763.4984
257	121348.6524
258	121287.1318
259	120885.1558
260	120768.7083
261	120607.4852
262	120494.507
263	120354.7927
264	119994.4236
265	119644.6514
266	119549.1698
267	119472.6964
268	119264.642
269	119131.7983
270	119074.2104
271	118963.4443
272	118566.8339
273	118399.1366
274	118056.3285
275	117860.1499
276	117742.5211
277	117551.5845
278	117470.4644
279	117361.7267
280	117256.3139
281	116910.9375
282	116808.4974
283	116659.319
284	116547.4552
285	116351.7846
286	116025.042
287	115928.051
288	115824.8439
289	115568.5708
290	115468.3107
291	115385.232
292	114989.748
293	114937.4773
294	114903.4101
295	114817.5703
296	114632.669
297	114529.9195
298	114431.9809
299	114046.8584
300	113961.9158
301	113722.9654
302	113676.4573
303	113538.8663
304	113443.2119
305	113253.9876
306	113183.8558
307	113141.1246
308	112770.0136
309	112702.9533
310	112475
311	112382.3141
312	112063.2912
313	111969.4485
314	111601.096
315	111417.0001
316	111378.1683
317	111286.5935
318	111158.248
319	111069.4646
320	110891.1509
321	110577.9176
322	110408.4098
323	110321.9653
324	110247.6384
325	110206.7062
326	109979.9235
327	109895.6489
328	109811.332
329	109729.7373
330	109510.2639
331	109486.3953
332	109122.4184
333	109042.7037
334	108998.8354
335	108839.3327
336	108662.4097
337	108496.4872
338	108420.7714
339	108340.7842
340	108311.4134
341	108001.3966
342	107700.4982
343	107599.9903
344	107521.811
345	107167.5424
346	106949.0497
347	106873.0182
348	106699.4951
349	106625.7413
350	106557.4921
351	106399.1238
352	106334.0549
353	106232.5786
354	106214.0952
355	106038.6573
356	105823.9355
357	105751.8828
358	105581.7693
359	105520.0444
360	105445.979
361	105387.7237
362	105333.1556
363	105167.8323
364	104813.185
365	104774.0551
366	104612.3781
367	104271.4347
368	104211.0385
369	104176.4336
370	103986.7252
371	103862.8628
372	103786.3856
373	103687.8777
374	103621.0639
375	103570.9112
376	103359.1442
377	103277.6722
378	103127.1425
379	102816.9762
380	102751.8304
381	102687.3227
382	102536.5306
383	102453.0968
384	102383.8169
385	102176.444
386	102016.2341
387	101801.6664
388	101646.34
389	101630.1139
390	101479.0257
391	101422.4612
392	101276.2617
393	101134.6168
394	101067.7719
395	100993.9148
396	100896.8774
397	100830.0838
398	100769.6937
399	100718.6894
400	100372.2878
401	100214.1038
402	99992.89743
403	99952.52618
404	99883.3781
405	99802.87865
406	99654.16612
407	99597.94544
408	99545.41996
409	99500.46158
410	99467.51466
411	99419.09745
412	99078.09424
413	98883.13157
414	98822.3564
415	98755.76989
416	98425.49586
417	98102.71561
418	97967.00239
419	97834.40328
420	97708.95138
421	97496.3776
422	97435.8328
423	97300.19024
424	97247.01503
425	97190.02047
426	97134.51393
427	96818.8265
428	96674.89198
429	96641.08193
430	96579.15607
431	96429.07903
432	96387.62418
433	96326.99999
434	96203.98368
435	95895.39396
436	95768.08366
437	95722.54893
438	95554.5425
439	95497.21764
440	95197.0009
441	95181.48359
442	95037.51377
443	94885.6837
444	94845.87266
445	94721.49728
446	94408.57632
447	94348.7817
448	94295.06756
449	94176.14207
450	94059.48817
451	93764.0269
452	93727.63219
453	93674.48047
454	93387.28807
455	93359.72418
456	93169.74135
457	93029.57233
458	92888.16044
459	92862.60303
460	92547.20398
461	92409.58154
462	92358.80903
463	92247.70429
464	92116.75361
465	92060.3392
466	92025.24804
467	92002.55065
468	91950.88541
469	91815.60407
470	91710.84469
471	91294.31854
472	91252.85434
473	91174.93774
474	91118.72906
475	91019.52744
476	90782.99105
477	90742.31165
478	90714.10161
479	90660.93734
480	90375.26773
481	90097.84455
482	89982.91867
483	89697.28722
484	89683.34984
485	89589.37323
486	89318.70262
487	89054.18344
488	89023.28913
489	88889.28936
490	88830.78877
491	88695.3631
492	88646.54386
493	88629.48506
494	88257.73706
495	88113.70447
496	87949.56711
497	87841.71918
498	87835.48878
499	87742.05572
500	87700.33711
501	87688.51807
502	87640.30879
503	87538.2834
504	87501.77765
505	87489.04462
506	87226.82966
507	87030.33065
508	86901.41691
509	86514.0922
510	86343.84663
511	86304.06539
512	86178.65132
513	86117.46276
514	85995.76715
515	85877.31544
516	85762.88266
517	85676.44059
518	85647.78945
519	85384.62542
520	85121.91175
521	85090.41355
522	84978.5944
523	84589.01135
524	84538.7701
525	84422.06809
526	84385.85558
527	84280.13538
528	83959.51464
529	83907.26217
530	83743.92388
531	83626.20628
532	83583.5238
533	83541.07359
534	83493.4779
535	83390.01414
536	83289.71213
537	83109.53925
538	83061.87448
539	82807.70973
540	82801.49059
541	82781.84805
542	82755.9809
543	82742.05486
544	82496.68018
545	82486.48676
546	82401.21049
547	82274.96242
548	82034.38484
549	81991.56685
550	81905.37157
551	81540.12583
552	81490.933
553	81458.53938
554	81424.37062
555	81388.09927
556	81348.55943
557	81301.21481
558	81271.81576
559	81183.56451
560	80947.62919
561	80934.47937
562	80914.68044
563	80807.66874
564	80578.16642
565	80495.46759
566	80266.65117
567	80168.05371
568	80007.74064
569	79851.68066
570	79770.27829
571	79553.83024
572	79530.08771
573	79158.25154
574	79125.75605
575	79084.68954
576	79073.68218
577	79057.51715
578	78961.51727
579	78941.12808
580	78901.42785
581	78872.74039
582	78779.58209
583	78728.5645
584	78575.36585
585	78212.20949
586	78063.06005
587	77723.62616
588	77573.17004
589	77542.89354
590	77401.74722
591	77375.17781
592	77302.11967
593	77165.19907
594	77140.18845
595	76795.58532
596	76781.89363
597	76775.75027
598	76755.95114
599	76722.42068
600	76629.78931
601	76578.52469
602	76529.97324
603	76441.65886
604	76378.37292
605	76313.70524
606	76285.92892
607	76264.07633
608	76240.11268
609	76105.5143
610	75772.038
611	75621.01429
612	75527.92236
613	75480.11067
614	75396.06839
615	75169.0677
616	75021.82461
617	75011.18817
618	74684.2943
619	74596.59974
620	74549.8375
621	74526.54673
622	74208.53353
623	74163.06155
624	74129.25667
625	73911.602
626	73885.32959
627	73858.44938
628	73828.84949
629	73804.15101
630	73678.01041
631	73465.25277
632	73444.22747
633	73302.50559
634	73257.95681
635	72945.23422
636	72930.97185
637	72684.44183
638	72491.74043
639	72456.90186
640	72437.3603
641	72225.49106
642	72217.27166
643	72173.38138
644	72127.75218
645	71834.39088
646	71812.69626
647	71782.49841
648	71742.63379
649	71717.0699
650	71694.25717
651	71612.09962
652	71570.57252
653	71490.31804
654	71285.14528
655	71086.62676
656	71046.53468
657	71003.28397
658	70987.74859
659	70976.82056
660	70937.67655
661	70814.63562
662	70808.51355
663	70789.28947
664	70781.91089
665	70662.44482
666	70382.97879
667	70351.62145
668	70294.41441
669	70258.27658
670	70220.00237
671	70182.93275
672	70124.69031
673	70001.77972
674	69976.27543
675	69897.35672
