iter	Passed	Remaining
0	157	157626
1	161	80475
2	165	54933
3	168	42007
4	172	34422
5	177	29333
6	180	25596
7	183	22807
8	188	20719
9	191	18969
10	195	17577
11	198	16355
12	201	15331
13	205	14505
14	209	13748
15	212	13088
16	216	12491
17	220	12024
18	224	11590
19	228	11182
20	231	10799
21	236	10493
22	239	10191
23	243	9888
24	246	9609
25	250	9392
26	254	9163
27	257	8937
28	260	8720
29	263	8521
30	268	8380
31	271	8226
32	275	8063
33	278	7912
34	283	7811
35	286	7682
36	290	7551
37	293	7427
38	298	7361
39	302	7252
40	305	7147
41	308	7037
42	314	6991
43	317	6905
44	320	6808
45	323	6715
46	328	6669
47	332	6600
48	336	6525
49	339	6450
50	343	6399
51	347	6338
52	350	6267
53	353	6195
54	357	6144
55	363	6122
56	367	6074
57	370	6015
58	374	5965
59	378	5924
60	381	5873
61	384	5818
62	389	5796
63	395	5788
64	400	5753
65	404	5726
66	408	5691
67	411	5645
68	414	5598
69	418	5556
70	421	5514
71	425	5484
72	429	5448
73	432	5407
74	435	5372
75	438	5332
76	442	5304
77	445	5266
78	448	5230
79	451	5193
80	454	5157
81	458	5131
82	461	5098
83	464	5065
84	467	5032
85	470	4999
86	474	4977
87	478	4957
88	481	4927
89	484	4896
90	488	4877
91	491	4851
92	495	4830
93	498	4804
94	501	4782
95	506	4773
96	510	4751
97	513	4725
98	516	4699
99	520	4682
100	523	4658
101	528	4650
102	531	4627
103	535	4609
104	538	4592
105	542	4579
106	545	4556
107	549	4534
108	553	4522
109	556	4504
110	559	4483
111	562	4462
112	565	4441
113	569	4428
114	573	4414
115	576	4394
116	579	4373
117	583	4359
118	587	4346
119	590	4328
120	593	4313
121	597	4296
122	602	4298
123	606	4284
124	609	4266
125	612	4249
126	617	4244
127	620	4226
128	623	4208
129	626	4189
130	628	4171
131	635	4179
132	638	4164
133	641	4147
134	644	4129
135	648	4121
136	651	4104
137	654	4090
138	658	4075
139	662	4068
140	665	4056
141	668	4040
142	671	4025
143	674	4009
144	679	4004
145	682	3994
146	685	3979
147	688	3964
148	691	3950
149	695	3942
150	698	3928
151	701	3914
152	704	3900
153	707	3887
154	711	3880
155	715	3869
156	718	3857
157	721	3844
158	724	3833
159	728	3825
160	731	3812
161	734	3798
162	737	3788
163	743	3789
164	747	3782
165	751	3775
166	755	3769
167	760	3764
168	763	3754
169	768	3750
170	774	3755
171	779	3752
172	784	3751
173	790	3750
174	793	3742
175	797	3732
176	801	3727
177	806	3724
178	810	3715
179	813	3707
180	817	3698
181	822	3696
182	826	3687
183	830	3683
184	834	3676
185	841	3684
186	862	3751
187	867	3745
188	873	3747
189	878	3744
190	882	3735
191	886	3731
192	891	3728
193	895	3722
194	900	3716
195	907	3721
196	912	3718
197	917	3715
198	921	3709
199	925	3702
200	929	3696
201	935	3695
202	939	3688
203	943	3681
204	948	3676
205	954	3680
206	959	3675
207	964	3671
208	969	3669
209	974	3665
210	979	3662
211	1002	3727
212	1008	3725
213	1018	3742
214	1024	3742
215	1034	3753
216	1041	3757
217	1050	3766
218	1060	3783
219	1066	3781
220	1071	3775
221	1075	3768
222	1083	3776
223	1088	3771
224	1098	3782
225	1103	3778
226	1107	3772
227	1115	3776
228	1119	3770
229	1127	3776
230	1134	3776
231	1138	3769
232	1144	3767
233	1148	3761
234	1153	3754
235	1158	3751
236	1163	3745
237	1167	3737
238	1185	3773
239	1189	3766
240	1195	3765
241	1200	3758
242	1204	3751
243	1209	3746
244	1214	3741
245	1218	3735
246	1225	3734
247	1228	3725
248	1232	3716
249	1236	3708
250	1240	3701
251	1244	3692
252	1247	3683
253	1251	3674
254	1256	3670
255	1260	3663
256	1264	3654
257	1267	3645
258	1272	3640
259	1277	3636
260	1281	3629
261	1286	3622
262	1292	3620
263	1296	3613
264	1300	3605
265	1304	3599
266	1308	3592
267	1312	3583
268	1316	3576
269	1321	3573
270	1325	3566
271	1329	3557
272	1332	3549
273	1338	3547
274	1342	3539
275	1345	3530
276	1350	3525
277	1355	3519
278	1358	3511
279	1362	3503
280	1365	3493
281	1369	3486
282	1372	3476
283	1374	3466
284	1377	3456
285	1380	3446
286	1386	3445
287	1389	3436
288	1392	3426
289	1395	3417
290	1400	3411
291	1404	3404
292	1407	3395
293	1410	3386
294	1413	3378
295	1418	3372
296	1421	3363
297	1423	3354
298	1426	3344
299	1430	3338
300	1433	3329
301	1437	3321
302	1440	3313
303	1443	3304
304	1447	3298
305	1450	3290
306	1453	3280
307	1456	3272
308	1460	3264
309	1463	3258
310	1466	3249
311	1470	3241
312	1472	3233
313	1476	3225
314	1480	3218
315	1483	3210
316	1486	3202
317	1489	3194
318	1492	3186
319	1496	3179
320	1499	3172
321	1503	3165
322	1506	3157
323	1510	3150
324	1513	3143
325	1516	3135
326	1519	3127
327	1525	3125
328	1528	3118
329	1531	3109
330	1535	3102
331	1538	3094
332	1542	3089
333	1545	3081
334	1548	3073
335	1551	3066
336	1554	3058
337	1558	3052
338	1561	3045
339	1566	3040
340	1570	3034
341	1575	3030
342	1579	3024
343	1583	3020
344	1587	3013
345	1593	3011
346	1597	3006
347	1600	2999
348	1605	2994
349	1610	2991
350	1613	2983
351	1616	2976
352	1623	2974
353	1626	2968
354	1630	2962
355	1633	2955
356	1639	2953
357	1642	2946
358	1645	2938
359	1648	2931
360	1654	2928
361	1659	2923
362	1662	2917
363	1665	2909
364	1671	2908
365	1675	2902
366	1678	2894
367	1681	2888
368	1689	2888
369	1692	2881
370	1695	2874
371	1698	2868
372	1706	2868
373	1710	2862
